Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1.3,4,4,2,3,1,1,7018
1.01,4,0,1,3,3,1,18187
2.17,2,3,3,0,0,1,30156
0.9,2,3,2,0,0,1,4260
1.0,1,4,2,3,3,1,4864
2.24,2,1,3,0,0,1,40445
1.59,2,4,3,0,0,1,13839
1.02,2,4,3,3,3,1,5835
1.02,4,4,2,3,3,1,4932
2.1,3,2,2,2,2,0,26278
0.91,0,2,2,3,1,1,4036
1.62,4,2,2,0,3,1,12202
1.1,2,4,4,3,3,1,6387
0.91,4,2,2,3,0,1,4188
1.2,1,5,3,3,3,1,5818
0.9,4,1,2,0,0,1,4442
1.04,4,2,2,1,0,1,5369
1.66,2,4,3,0,0,1,13330
0.77,4,0,3,0,0,1,3643
1.63,4,5,2,1,1,1,9199
1.32,2,1,2,3,3,1,8014
1.71,4,2,3,3,3,1,17768
1.02,2,1,2,3,3,1,5590
1.04,2,3,4,0,0,1,6809
1.01,2,2,4,0,0,1,7411
1.2,4,1,4,3,0,1,9320
2.0,1,5,4,3,3,1,15438
1.01,4,5,2,0,0,1,4133
1.0,4,1,6,0,3,1,8638
0.9,2,5,2,3,3,1,3455
1.38,2,3,5,0,3,1,12684
1.0,4,5,4,0,3,1,4739
1.13,4,2,6,3,3,1,9947
0.79,2,5,3,0,0,1,2888
1.54,2,5,4,2,2,0,9998
0.81,4,5,2,3,3,1,2701
1.15,2,2,6,3,3,1,10555
1.51,4,2,4,0,3,1,13324
1.2,2,5,2,0,3,1,5476
1.1,4,4,2,3,1,1,5276
1.31,4,5,3,3,3,1,6885
1.03,2,3,4,0,0,1,6981
1.1,4,5,2,1,0,1,4545
1.01,4,2,5,0,0,1,9782
1.01,4,1,2,3,3,1,5224
1.01,4,2,4,0,0,1,6714
1.57,2,3,4,0,0,1,14283
1.01,1,4,2,0,0,1,4563
1.0,2,1,4,0,0,1,7370
1.21,4,0,2,3,0,1,7597
0.93,4,1,4,1,3,1,5140
1.78,4,0,4,3,1,1,16697
2.25,2,1,4,0,0,1,32691
0.93,4,0,3,3,3,1,5862
0.9,4,4,4,1,1,1,4064
1.01,4,4,2,0,3,1,4682
1.14,1,4,2,3,3,1,5487
1.05,4,3,3,0,3,1,7010
1.6,2,3,4,2,2,0,15000
1.01,1,1,2,3,3,1,4989
1.01,0,0,2,0,1,1,5122
0.75,4,2,6,1,1,1,3551
1.01,4,0,2,3,3,1,5731
2.03,4,5,2,3,0,1,15101
0.83,1,1,2,0,3,1,3422
1.02,4,1,4,3,3,1,6366
2.12,2,4,4,2,2,0,21846
2.04,2,5,2,0,0,1,16718
0.75,2,5,6,2,2,0,2782
2.17,2,2,2,3,0,1,22930
1.0,0,2,3,0,3,1,6627
1.0,1,1,2,3,0,1,5408
1.26,4,2,3,0,0,1,11255
1.31,2,5,3,0,0,1,7751
1.51,4,3,4,3,3,1,11923
1.02,4,0,2,1,3,1,5839
1.01,2,1,6,3,3,1,10503
0.91,2,5,3,2,2,0,4374
0.79,2,5,4,3,0,1,2712
0.79,1,1,2,3,3,1,2548
1.02,4,1,2,3,3,1,5667
2.02,4,2,2,3,3,1,17658
1.06,2,5,2,0,0,1,4745
1.01,4,2,6,3,1,1,7835
0.9,4,0,4,1,3,1,4729
2.15,4,3,3,0,0,1,27558
2.2,4,2,4,0,0,1,27535
1.22,2,2,3,0,0,1,10422
1.0,0,1,6,3,1,1,7553
0.8,4,4,2,0,1,1,2670
2.19,4,2,4,3,3,1,29635
1.32,2,0,6,0,0,1,16099
1.51,1,2,2,1,1,1,11056
1.01,1,1,2,3,3,1,5233
2.74,2,5,2,2,2,0,24089
1.02,4,2,5,3,3,1,8800
2.04,2,1,2,2,2,0,20045
1.02,2,3,3,0,3,1,7038
1.02,4,3,6,3,0,1,8252
2.08,2,4,2,0,0,1,18760
1.02,4,2,6,0,3,1,9246
1.06,2,3,2,3,3,1,5870
1.5,4,2,4,3,3,1,12751
1.57,4,2,5,0,0,1,21167
2.34,4,0,6,3,3,1,57208
1.2,2,5,4,0,0,1,6303
1.01,4,0,2,3,3,1,5619
1.32,2,3,3,2,2,0,11079
1.15,4,4,4,1,1,1,5831
0.91,4,0,2,3,1,1,4585
1.14,2,5,2,3,3,1,4894
1.13,2,4,6,0,0,1,7385
2.08,2,1,4,0,0,1,32149
0.9,1,1,5,0,3,1,7214
0.75,2,4,2,3,3,1,2501
2.66,2,0,0,0,0,1,96493
1.56,2,3,4,0,0,1,13543
1.02,4,3,6,1,3,1,8013
1.02,2,2,2,3,0,1,5795
1.53,4,3,3,3,1,1,15008
1.07,4,2,1,1,1,1,11019
1.2,4,3,2,3,3,1,6076
0.9,0,2,2,3,3,1,3842
1.23,2,0,6,0,0,1,13274
1.01,2,0,6,2,2,0,11442
1.06,3,2,6,0,0,1,10927
1.04,2,3,4,0,0,1,6769
1.51,2,3,4,3,0,1,12947
1.22,4,4,2,1,3,1,6350
0.9,4,1,2,3,1,1,4265
1.02,2,2,4,0,3,1,6622
0.8,4,4,3,3,3,1,3144
1.57,2,1,4,0,0,1,17548
2.08,4,2,4,3,1,1,30210
0.9,4,2,3,3,3,1,4671
1.5,2,4,3,2,2,0,12055
2.01,4,4,2,3,1,1,18149
1.28,2,3,2,0,0,1,7415
1.52,4,4,3,3,3,1,12877
1.0,1,4,2,3,3,1,4702
2.37,2,4,4,0,3,1,28063
2.02,1,1,3,0,3,1,29334
1.21,2,2,3,2,2,0,11045
1.54,1,4,3,0,3,1,10669
1.5,4,4,4,3,1,1,9706
0.78,4,1,5,0,3,1,4904
2.2,4,5,3,0,0,0,19671
1.14,2,3,1,0,0,1,9948
1.33,2,3,6,0,0,1,12345
1.04,2,0,6,0,0,1,11367
2.0,4,5,2,3,1,1,15381
0.9,4,0,6,0,3,1,5423
1.51,0,3,2,1,3,1,8681
1.23,4,3,5,0,0,1,10477
1.53,2,5,2,3,3,1,8971
1.04,4,2,2,1,3,1,5290
1.2,4,4,2,0,1,1,5630
2.13,2,0,1,2,2,0,70114
0.9,1,4,3,3,3,1,4072
1.09,2,1,4,0,0,1,7978
1.27,2,2,5,3,3,1,13279
1.01,1,3,2,3,1,1,4884
1.13,4,3,6,3,3,1,9788
1.01,4,5,3,0,0,1,5041
2.21,2,3,4,0,0,1,30440
2.03,2,5,5,2,2,0,21437
2.01,4,5,4,3,3,1,15675
2.13,4,4,2,3,3,1,17601
1.5,1,2,2,1,1,1,10755
1.27,2,5,3,1,3,1,6396
1.07,2,2,1,0,3,1,11327
2.14,1,3,2,3,1,1,20853
1.01,4,4,2,0,0,0,4727
1.0,2,2,2,3,0,1,5312
1.52,4,1,2,0,0,1,12275
1.19,2,3,3,2,2,0,8034
1.03,2,2,3,2,2,0,7856
1.01,1,2,2,0,3,1,5078
0.9,4,0,2,1,1,1,4105
2.02,2,4,3,3,3,1,20885
1.22,4,3,4,3,0,1,8340
1.13,2,3,2,0,3,1,5759
1.01,2,2,2,0,0,1,5870
1.04,2,3,4,0,0,1,7044
0.76,4,4,1,0,0,1,3367
0.93,2,5,2,0,0,1,3772
0.9,2,4,4,3,3,1,4369
1.22,4,3,6,0,0,1,9919
1.16,4,0,2,0,0,1,5695
2.5,4,5,4,3,1,1,20894
1.71,1,5,4,1,1,1,11250
1.29,2,4,2,2,2,0,7036
1.03,2,3,3,2,2,0,6913
0.9,2,0,2,0,0,1,5656
2.32,4,1,6,1,0,1,47800
1.51,1,5,4,3,1,1,8951
2.01,1,1,6,0,1,1,34255
1.0,4,2,2,0,3,1,5528
1.29,2,3,4,0,3,0,8858
2.23,2,4,5,0,0,1,28811
1.2,4,2,3,3,3,1,9574
0.78,2,4,2,3,0,1,2622
1.0,0,4,2,1,3,1,4269
0.92,4,1,4,0,0,1,5044
1.05,1,4,2,1,1,1,4785
1.1,4,4,2,3,0,1,4938
1.23,4,3,5,1,3,1,10435
0.76,1,3,3,3,1,0,3121
1.21,2,5,3,2,2,0,7111
2.01,2,4,4,2,2,0,20296
1.02,4,1,4,3,1,1,6612
1.04,1,3,2,1,1,1,4768
0.76,2,3,4,0,0,1,3114
1.01,2,2,3,3,3,1,7870
1.51,2,0,2,0,0,1,13588
1.22,2,2,6,3,0,1,10409
2.02,4,1,4,3,0,1,28739
1.09,2,3,3,0,0,1,7992
0.91,4,0,4,3,3,1,5134
1.0,0,1,4,3,1,1,6268
0.9,4,5,4,1,1,1,3709
1.32,4,5,3,3,3,1,6793
2.01,1,4,4,1,1,1,18341
1.01,2,5,2,3,3,1,5020
1.09,3,3,4,2,2,0,7709
1.0,4,1,2,3,3,1,5247
0.91,4,4,6,3,3,1,4143
1.55,3,5,4,2,2,0,11574
1.25,2,3,6,2,2,0,10983
1.03,2,3,6,0,0,1,8277
0.77,2,0,2,2,2,0,3345
2.01,2,4,2,0,3,1,18252
0.78,2,4,6,0,0,1,3581
1.5,3,3,6,2,2,0,17176
1.7,4,4,2,3,3,1,11560
1.15,2,4,2,3,3,1,5529
0.84,2,5,3,0,0,1,2898
1.07,4,4,4,1,1,1,5586
1.5,2,1,4,2,2,0,14618
1.0,4,3,5,0,1,1,7872
1.01,1,2,4,1,3,1,5700
1.14,3,4,2,2,2,0,7079
1.28,2,2,3,0,0,1,12061
0.91,4,3,5,0,0,1,4680
1.22,2,2,4,3,3,1,8418
0.91,4,4,2,0,3,1,3998
1.01,4,4,4,2,2,0,5393
1.06,3,3,3,2,2,0,8093
1.26,2,2,4,0,0,1,10709
0.9,4,1,4,3,0,1,4920
0.92,3,5,2,2,2,0,4457
2.01,4,3,3,0,0,1,24784
1.0,4,3,6,0,0,1,7215
1.5,2,4,6,2,2,0,12187
1.2,4,4,2,3,3,1,6377
2.03,2,2,4,0,0,1,31773
2.07,4,5,4,3,0,1,16378
1.01,4,2,3,3,3,1,6914
0.79,4,1,6,3,3,1,4585
1.7,1,3,4,3,1,1,15087
0.83,4,4,4,1,0,1,3276
1.09,2,3,4,0,0,1,7227
0.9,1,4,2,1,3,1,3238
0.9,1,0,4,3,1,1,4508
1.33,2,5,4,2,2,0,7752
1.51,2,3,4,3,0,1,12913
1.0,4,4,2,0,0,1,5021
2.02,1,4,3,0,0,1,19829
0.81,4,1,2,3,1,1,3643
1.03,2,0,3,0,0,1,9192
0.75,2,1,2,1,3,1,3049
1.06,1,4,2,3,3,1,4828
0.86,2,2,4,0,0,1,4398
0.91,0,2,2,1,1,1,3884
1.01,1,2,2,0,3,1,5107
2.09,2,4,3,0,0,1,23602
1.23,4,2,6,1,0,1,11110
1.35,4,4,6,0,2,0,8644
1.25,2,1,6,2,2,0,12981
2.02,4,3,2,3,0,1,19442
1.01,4,0,2,3,1,1,5670
1.52,2,4,2,0,3,1,10239
1.53,4,4,2,1,0,1,9332
2.01,2,3,3,3,3,1,26659
1.08,2,4,2,2,2,0,5558
1.23,2,5,2,0,0,1,6183
1.23,4,2,3,1,3,1,9694
1.02,4,3,1,3,3,1,8538
1.02,4,2,6,0,0,1,9728
1.13,2,3,3,2,2,0,7808
2.43,2,1,2,0,0,1,30108
1.03,3,0,3,0,0,1,10607
0.8,4,4,5,2,2,0,3737
1.09,2,0,6,0,0,1,12185
1.0,4,0,2,0,3,1,6040
1.0,2,3,4,3,3,1,5887
1.33,3,2,6,0,0,1,15031
0.9,4,3,4,3,3,1,4173
1.05,2,3,3,2,2,0,7317
1.04,1,1,6,3,1,1,9038
1.04,4,2,3,3,3,1,8090
2.01,2,3,2,2,2,0,20934
1.51,1,5,4,0,1,1,8939
0.9,0,0,3,3,1,1,4958
1.12,2,3,3,2,2,0,7970
0.91,4,2,2,3,3,1,3963
1.05,2,3,3,0,3,1,7571
2.01,2,1,2,0,0,1,23217
0.9,0,1,2,3,3,1,3743
2.3,4,1,3,0,0,1,45752
0.85,4,0,4,3,3,1,4133
1.25,4,5,4,1,3,1,5956
1.59,2,5,2,0,0,1,9209
1.2,2,0,6,3,0,1,13165
1.21,4,3,6,0,0,1,9878
1.05,4,0,4,1,1,1,7794
1.06,2,3,3,0,0,1,7594
1.02,2,2,4,0,3,1,6645
1.01,4,1,6,3,0,1,8401
1.01,4,2,5,0,3,1,10019
0.82,2,2,4,2,2,0,3913
1.03,4,3,2,1,3,1,4997
0.9,4,4,2,0,0,1,3770
0.91,4,5,4,1,3,1,3633
1.51,0,5,3,1,1,1,8359
1.01,1,0,2,3,3,1,5541
1.12,2,3,3,0,0,1,8202
2.07,4,0,6,1,3,1,46229
1.01,0,2,4,0,1,1,5747
2.57,2,3,3,3,0,1,40652
1.23,4,3,6,0,3,1,9803
2.01,1,5,2,0,1,1,15743
2.01,1,3,1,0,3,1,27624
2.05,1,4,3,3,3,1,19436
1.55,2,3,3,0,0,1,15070
2.55,2,5,3,0,0,1,25387
1.01,2,1,3,0,3,1,7458
0.76,4,4,2,0,0,1,2593
1.01,1,4,2,1,1,1,5197
0.9,2,5,3,3,0,1,3724
1.01,4,3,2,0,0,1,5231
2.02,2,1,4,3,3,1,29641
2.15,1,2,2,0,3,1,23911
2.01,1,1,4,3,3,1,25793
1.8,4,1,2,0,1,1,17273
1.53,2,0,4,0,0,1,17223
1.02,4,4,2,3,0,1,4802
1.52,4,3,4,1,3,1,12596
1.25,2,1,4,3,0,1,9365
0.9,4,0,4,3,0,1,4981
2.01,2,5,2,3,3,1,15333
1.06,2,0,2,3,3,1,6062
0.76,2,0,3,3,0,1,4229
1.01,1,2,4,1,1,1,6081
2.47,4,3,6,3,0,1,36993
1.15,2,1,5,0,0,1,12447
2.11,2,3,2,0,0,1,21262
1.51,2,5,2,0,0,1,8504
1.08,3,4,3,2,2,0,7397
0.9,2,3,5,0,3,1,6237
2.02,4,2,2,3,3,1,20548
0.9,2,3,3,0,0,1,4931
1.55,0,3,4,1,1,1,10981
1.01,4,3,3,0,3,1,6561
2.39,4,3,6,3,1,1,34415
1.5,1,1,4,0,3,1,13061
0.75,3,4,2,2,2,0,3011
2.27,2,1,6,0,0,1,47741
1.51,4,1,2,0,0,0,12064
2.17,2,4,6,0,0,1,25707
1.71,4,5,2,3,3,1,10410
1.01,4,4,3,3,3,1,5680
1.01,1,2,2,1,3,1,5008
1.51,2,4,4,0,0,1,11696
1.64,2,5,4,3,3,1,10628
1.62,3,2,3,2,2,0,19661
0.88,2,4,5,3,3,1,4334
0.8,4,1,3,0,3,1,3831
1.08,2,0,2,3,3,1,6078
1.01,4,1,4,0,1,1,6491
2.01,2,3,3,2,2,0,26026
0.75,4,1,4,0,0,1,3365
0.91,0,2,2,3,3,1,4036
1.0,4,0,2,0,3,1,5491
1.01,1,3,6,3,3,1,7566
1.28,2,3,3,1,0,1,9372
2.03,4,2,3,3,3,1,30894
1.2,4,2,3,3,3,1,8983
2.25,4,3,3,3,3,1,33248
1.05,2,4,2,0,3,1,4925
0.9,2,3,4,0,0,1,4748
1.25,2,2,4,0,0,1,9503
0.96,2,3,3,0,0,1,6807
1.25,2,5,4,3,3,1,6562
1.05,2,3,2,0,3,1,5361
1.0,4,2,2,3,3,1,4961
1.0,1,2,4,3,1,1,6284
0.83,4,1,2,0,0,1,3002
2.04,4,5,2,3,1,1,15412
0.75,2,4,2,3,3,1,2523
1.53,3,0,3,2,2,0,21331
1.5,4,2,2,2,2,0,11096
2.04,4,0,4,0,3,1,28578
1.1,4,5,2,1,1,1,4583
0.92,1,5,2,3,3,1,3122
0.9,4,0,6,3,0,1,6924
1.2,3,1,5,0,0,1,16256
0.81,2,1,5,0,0,1,5752
1.09,2,2,1,1,1,1,11888
1.0,4,5,2,3,3,1,4095
1.5,1,3,2,0,3,1,10271
1.04,3,3,3,2,2,0,7951
1.04,2,3,4,3,0,1,6955
1.01,4,3,4,1,3,1,5696
2.13,2,5,3,0,3,1,19058
1.11,2,0,3,3,0,1,9315
2.07,2,4,4,2,2,0,20842
1.03,2,3,4,0,0,1,7726
1.3,2,4,4,0,0,1,8196
1.13,2,3,2,0,0,1,6133
0.76,2,1,4,3,0,1,3864
1.01,4,0,2,0,0,1,5622
0.83,4,1,2,1,1,0,3295
1.04,2,5,2,3,3,1,4484
1.75,2,3,3,3,3,1,18851
1.01,1,1,4,0,3,1,6132
0.79,2,5,2,0,3,1,2442
0.86,2,5,3,0,0,1,3122
2.56,2,4,2,0,0,1,24975
2.0,2,3,3,1,1,1,26049
0.77,0,2,3,1,1,0,3031
0.9,4,1,2,0,3,1,4239
1.02,4,0,2,0,1,1,5291
1.22,4,5,4,3,3,1,5979
2.37,4,4,3,3,3,1,25451
0.77,4,3,4,0,0,1,3124
1.0,1,4,3,3,3,1,5743
1.01,4,3,3,0,0,1,6936
1.03,4,2,2,3,3,1,5241
0.9,1,0,2,3,3,1,4579
1.16,2,2,3,0,0,1,9004
2.36,4,0,4,1,3,1,30867
1.22,4,3,4,1,1,1,8377
1.01,2,3,4,0,0,1,6734
1.06,4,1,2,3,3,1,5328
2.47,2,5,3,2,2,0,24667
2.24,2,5,3,0,0,1,20906
1.01,1,3,2,0,3,0,5073
1.01,0,3,2,3,1,1,4646
1.2,4,1,2,1,3,1,6809
1.66,2,3,6,2,2,0,16893
1.03,2,5,3,2,2,0,5181
0.94,1,4,2,3,1,1,3528
2.08,2,4,4,0,0,1,22434
0.9,1,2,2,3,3,1,3842
1.51,2,5,4,0,3,0,9090
1.5,4,5,4,3,3,1,9118
0.77,4,3,3,3,1,1,2986
1.71,2,0,1,3,3,1,39027
1.02,1,3,1,0,1,1,8215
1.51,1,5,3,1,3,1,9581
0.9,0,1,2,0,0,1,4034
1.7,4,3,4,1,1,1,15767
1.32,4,4,2,3,3,1,7389
0.91,4,2,2,3,1,1,4049
1.02,2,3,4,3,3,1,6845
1.0,4,0,2,3,3,1,5755
1.59,2,0,2,0,3,1,13600
2.02,1,5,3,3,1,1,17470
2.01,4,4,3,1,1,1,20940
2.01,4,3,2,0,3,1,19347
1.22,3,3,3,0,0,1,10572
2.01,1,0,3,1,1,1,35992
1.01,4,1,1,3,3,1,11042
0.9,2,5,3,2,2,0,4093
1.64,2,2,4,2,2,0,15458
1.01,4,3,4,3,3,1,5777
1.22,2,4,6,2,2,0,8014
1.52,2,4,4,2,2,0,11896
1.58,2,3,1,0,3,1,17329
2.53,1,4,2,3,3,1,24795
1.5,2,0,2,3,3,1,12206
1.01,4,2,2,1,3,1,5107
2.02,4,3,3,1,1,1,28469
2.09,2,0,3,2,2,0,40503
2.02,2,5,6,0,0,1,22984
1.2,2,1,4,0,3,1,7966
2.5,4,2,4,3,1,1,40046
1.51,2,1,5,0,3,1,24608
2.08,4,4,4,0,3,1,20379
1.12,4,5,4,1,3,1,4914
1.54,2,5,4,3,0,1,9600
1.04,2,3,6,2,2,0,8207
1.0,0,1,2,3,1,1,4844
1.01,2,3,4,0,0,1,6587
1.08,3,4,2,2,2,0,6426
0.9,1,2,6,0,3,1,5480
1.5,4,1,4,3,0,1,14592
1.06,4,4,2,1,3,1,4878
1.03,4,2,4,3,3,1,6809
1.12,3,3,4,0,0,1,8189
1.03,4,3,3,3,3,1,6487
1.02,4,1,1,3,1,1,10029
2.05,4,3,3,0,0,1,27181
0.9,0,4,6,3,1,1,4447
0.91,4,4,2,3,3,1,3710
0.79,4,0,2,1,3,1,3432
2.14,2,3,5,0,0,1,33956
2.11,2,2,4,0,0,1,31200
1.01,4,2,2,0,3,1,5886
1.5,4,4,6,0,0,1,11052
1.04,2,4,6,0,0,1,6990
2.02,1,2,5,3,3,1,37083
1.6,2,3,6,3,0,1,16575
1.05,2,3,6,0,0,1,8436
1.12,2,4,3,3,0,1,6309
1.03,4,0,3,3,3,1,8437
0.9,0,0,2,0,0,1,4537
2.02,4,1,5,3,3,1,46666
1.21,2,0,6,3,3,1,14691
1.06,2,2,6,2,2,0,9547
1.09,4,0,2,3,3,1,6438
0.9,1,5,5,0,0,1,3972
1.12,2,3,3,0,0,1,8394
1.3,2,3,1,3,3,1,12098
2.03,4,5,2,0,0,1,16693
1.01,4,4,4,3,3,1,5967
2.02,1,2,3,3,3,1,25804
0.93,4,3,2,3,0,1,4513
1.27,2,5,4,0,3,1,6118
1.06,2,0,4,0,0,1,8143
1.1,4,4,4,3,3,1,5817
1.72,4,2,4,3,1,1,17578
1.51,4,2,6,3,3,1,16716
0.76,2,5,4,0,0,1,3577
1.02,2,4,4,0,3,1,5934
1.5,4,5,4,3,1,1,9250
0.91,2,3,2,0,0,1,4922
1.0,1,4,3,0,1,1,5625
0.77,2,4,4,0,0,1,3996
1.21,2,2,5,3,3,1,12230
1.0,1,2,1,1,1,1,8903
1.26,1,1,5,3,3,1,11452
0.77,4,0,2,3,0,1,3166
1.56,2,3,4,2,2,0,13628
1.62,2,3,4,2,2,0,14777
1.14,2,2,6,3,0,1,10602
2.15,2,3,4,0,0,1,28837
1.0,4,2,3,0,0,1,7350
1.2,4,4,4,3,0,1,6591
0.9,4,4,6,0,3,1,4637
2.01,2,2,2,0,0,1,22373
1.1,2,4,2,1,1,1,5370
1.5,4,5,2,0,3,1,8695
1.0,1,0,2,3,1,1,5546
1.02,4,2,4,3,3,1,6407
1.52,1,3,3,3,1,1,13155
0.9,4,4,4,0,3,1,4588
1.24,2,4,3,0,0,1,10006
1.52,2,2,6,0,3,1,17914
1.07,3,3,3,2,2,0,8456
0.81,2,1,2,3,1,1,3413
2.03,2,4,3,0,0,1,26148
2.62,2,5,5,0,0,1,31254
1.21,1,5,2,1,3,1,5452
2.03,4,2,1,3,3,1,39605
1.58,3,5,2,2,2,0,11110
1.06,2,0,6,0,0,1,11837
2.01,4,3,6,0,0,1,27136
0.9,4,0,3,3,1,1,5331
1.24,4,5,4,3,3,1,6134
1.07,2,2,4,3,3,1,7441
1.01,1,4,2,3,3,1,4553
2.68,2,5,2,2,2,0,23354
1.01,2,0,5,0,0,1,12065
1.11,3,5,4,2,2,0,6395
1.05,3,5,4,0,0,1,5697
1.28,4,3,5,2,2,0,11214
1.01,2,2,4,2,2,0,7014
1.22,2,3,2,3,3,1,6867
1.2,2,3,4,2,2,0,8040
1.11,2,5,2,3,3,1,4709
0.76,4,1,6,3,3,1,3891
1.19,4,3,3,1,1,1,7989
1.14,2,5,2,2,2,0,5158
0.82,1,3,2,0,3,0,2840
1.2,1,5,3,3,3,1,6192
2.23,2,0,3,0,0,1,41823
1.01,4,2,4,3,1,1,6083
1.4,2,3,5,0,0,1,15134
2.02,4,1,4,0,1,1,28648
1.19,4,1,2,3,3,1,5956
2.02,2,4,2,3,3,1,17392
1.16,4,3,6,0,3,1,8361
1.3,4,5,2,1,0,1,6446
0.81,2,3,5,0,0,1,4493
2.17,4,4,3,0,0,0,24600
1.51,4,4,3,3,3,1,12546
1.53,3,4,2,0,0,1,12093
1.07,2,2,2,0,0,1,7286
2.01,4,2,6,0,2,0,33665
1.15,2,4,2,3,3,1,5372
2.08,4,5,3,3,1,1,19781
2.01,1,3,3,3,1,1,25796
1.35,2,4,5,0,0,1,10639
2.08,2,4,3,0,0,1,25210
2.09,4,1,6,3,3,1,38484
1.14,2,2,3,0,0,1,9074
0.91,4,4,3,3,3,1,4370
1.5,0,5,4,3,1,1,8999
0.81,4,3,3,3,3,1,3544
2.0,1,1,2,3,1,1,20000
0.82,2,0,2,0,0,1,4113
1.02,2,3,6,3,3,1,8335
1.03,2,1,3,0,0,1,8284
1.29,4,3,6,0,3,1,10565
1.22,2,5,2,0,0,1,6398
2.07,4,3,2,0,0,1,18945
1.06,2,0,2,0,3,1,6062
2.64,2,3,4,3,0,1,35856
2.32,2,3,3,3,0,1,32502
1.14,2,1,3,2,2,0,9079
1.5,4,4,2,0,3,1,9987
0.78,2,5,4,3,3,1,2652
0.9,0,1,2,0,3,1,4220
1.02,4,3,6,0,3,1,7724
1.04,2,2,2,1,1,1,5145
1.01,2,2,2,3,3,1,5812
1.5,4,4,3,0,3,1,12723
0.91,2,2,4,3,3,1,5261
0.91,4,0,2,3,3,1,4523
1.03,2,3,3,2,2,0,7119
1.11,2,2,4,0,0,1,7473
2.08,4,4,2,1,1,1,17469
0.83,4,0,2,3,3,1,3515
0.94,4,3,4,3,1,0,4488
1.17,2,4,4,3,0,1,6324
1.69,2,3,2,0,0,1,13534
0.83,3,2,2,0,0,1,4009
1.0,1,2,5,1,1,1,8401
0.76,4,0,6,3,3,1,4125
1.04,3,0,3,2,2,0,10625
1.21,4,5,6,3,3,1,6679
1.3,4,1,6,0,0,1,13329
1.61,1,2,2,3,3,1,11422
2.02,1,4,4,0,3,1,19940
1.01,4,3,6,0,0,1,7439
0.91,2,5,4,2,2,0,4199
2.0,1,4,4,3,1,1,20688
1.63,3,4,3,0,0,1,14261
1.54,2,2,2,2,2,0,12227
1.01,2,2,2,0,0,1,5582
0.75,4,1,5,0,3,1,4889
2.17,4,2,3,3,3,1,35522
1.72,2,0,1,0,3,1,38080
1.03,2,1,2,0,3,1,5411
2.28,2,2,4,0,0,1,35588
1.08,2,3,4,1,1,1,6855
1.41,4,2,4,3,1,1,11298
1.27,4,5,2,1,3,1,5953
